gene	process	chr	function	ENSG	gene-start	gene-end	url	notes
ACADS	Fatty acid beta-oxidation	12	ACADS: Short chain acyl-CoA dehydrogenase encoded by ACADS catalyzes the final 1 to 2 cycles	ENSG00000122971	120725735	120740008	http://www.ncbi.nlm.nih.gov/gene/35	
ACADSB	Fatty acid beta-oxidation	10	ACADSB: Involved in the metabolism of short branched chain fatty acids	ENSG00000196177	123008979	123058311	http://www.ncbi.nlm.nih.gov/gene/36	
DECR1	Fatty acid beta-oxidation	8	DECR1: 2,4 dienoyl CoA reductase 1 catalyzes the metabolism of Polyunsaturated fatty acids	ENSG00000104325	90001405	90052092	http://www.ncbi.nlm.nih.gov/gene/1666	
CPS1	Urea Cycle	2	CPS1: Carbamoyl phosphate synthetase catalyzes the step where free NH4+ with HCO3- to form carbamoyl phosphate	ENSG00000021826	210477682	210679107	http://www.ncbi.nlm.nih.gov/gene/1373	
OTC	Urea Cycle	X	OTC: Ornithine transcarbamoylase catalyzes the step in which carbamoyl phosphate combines with ornithine to form citruline	ENSG00000036473	38352545	38421450	http://www.ncbi.nlm.nih.gov/gene/5009	
ASS1	Urea Cycle	9	ASS1: Argininosuccinate synthetase catalyzes the step where Citruline combines with Aspartate to form Argininosuccinate	ENSG00000130707	130444929	130501274	http://www.ncbi.nlm.nih.gov/gene/445	
ASL	Urea Cycle	7	ASL: Argininosuccinate lyase catalyzes the reaction where Argininosuccinate is cleaved of its nitrogen and carbon skeleton forming arginine and fumarate respectively	ENSG00000126522	66075798	66093558	http://www.ncbi.nlm.nih.gov/gene/435	
ARG1	Urea Cycle	6	ARG1: Arginase catalyzes the step where Arginine is hydrolyzed to form urea and ornithine	ENSG00000118520	131573144	131584332	http://www.ncbi.nlm.nih.gov/gene/383	
ARG2	Urea Cycle	14	ARG2: Arginase catalyzes the step where Arginine is hydrolyzed to form urea and ornithine	ENSG00000081181	67619798	67651720	http://www.ncbi.nlm.nih.gov/gene/384	
APAF1	Apoptosis	12	APAF1: Binds CASP9 preprotein forming an apoptosome and activates it	ENSG00000120868	98645141	98735433	http://www.ncbi.nlm.nih.gov/gene/317	
CASP3	Apoptosis	4	CASP3: Executioner caspases leading to apoptosis	ENSG00000164305	184627696	184649509	http://www.ncbi.nlm.nih.gov/gene/836	
MAPK1	Apoptosis	22	MAPK1: Inhibitors of CASP9 activity	ENSG00000100030	21754500	21867680	http://www.ncbi.nlm.nih.gov/gene/5594	
CASP7	Apoptosis	10	CASP7: Executioner caspases leading to apoptosis	ENSG00000165806	113679162	113730907	http://www.ncbi.nlm.nih.gov/gene/840	
DIABLO	Apoptosis	12	DIABLO: Acts as caspase activator by inhibiting the inhibitors of apoptotic proteins	ENSG00000184047	122207662	122227534	http://www.ncbi.nlm.nih.gov/gene/56616	
XIAP	Apoptosis	X	XIAP: X-linked inhibitor of apoptosis protein inhibits caspase activity by directly binding to CASP9, 3 and 7	ENSG00000101966	123859724	123913979	http://www.ncbi.nlm.nih.gov/gene/331	
BCL2	Apoptosis	18	BCL2: Bcl-2 family member Anti-apoptotic proteins	ENSG00000171791	63123346	63320128	http://www.ncbi.nlm.nih.gov/gene/596	
BCL2L1	Apoptosis	20	BCL2L1: Bcl-2 family member Anti-apoptotic proteins	ENSG00000171552	31664452	31723989	http://www.ncbi.nlm.nih.gov/gene/598	
MCL1	Apoptosis	1	MCL1: Bcl-2 family member Anti-apoptotic proteins	ENSG00000143384	150574551	150579738	http://www.ncbi.nlm.nih.gov/gene/4170	
BAX	Apoptosis	19	BAX: Bcl-2 family member propagating apoptosis	ENSG00000087088	48954815	48961798	http://www.ncbi.nlm.nih.gov/gene/581	
BAK1	Apoptosis	6	BAK1: Bcl-2 family member propagating apoptosis	ENSG00000030110	33572547	33580293	http://www.ncbi.nlm.nih.gov/gene/578	
BAD	Apoptosis	11	BAD: Bcl-2 family member propagating apoptosis	ENSG00000002330	64269830	64284704	http://www.ncbi.nlm.nih.gov/gene/572	
BIK	Apoptosis	22	BIK: Bcl-2 family member propagating apoptosis	ENSG00000100290	43110748	43129712	http://www.ncbi.nlm.nih.gov/gene/638	
BID	Apoptosis	22	BID: Bcl-2 family member propagating apoptosis	ENSG00000015475	17734138	17774770	http://www.ncbi.nlm.nih.gov/gene/637	
BCL2L11	Apoptosis	2	BCL2L11: Bim Bcl-2 family member propagating apoptosis	ENSG00000153094	111119378	111168447	http://www.ncbi.nlm.nih.gov/gene/10018	
PMAIP1	Apoptosis	18	PMAIP1: Noxa Bcl-2 family member propagating apoptosis	ENSG00000141682	59899948	59904306	http://www.ncbi.nlm.nih.gov/gene/5366	
BBC3	Apoptosis	19	BBC3: Puma Bcl-2 family member propagating apoptosis	ENSG00000105327	47220822	47232766	http://www.ncbi.nlm.nih.gov/gene/27113	
TP53	Apoptosis	17	TP53: Directly binds both BAK and BAX and activates them	ENSG00000141510	7661779	7687550	http://www.ncbi.nlm.nih.gov/gene/7157	
VDAC1	Apoptosis	5	VDAC1: Voltage dependent anion channel forms part of permeability transition pore and also involved in the takeup of calcium ions from the Endoplasmic reticulum	ENSG00000213585	133971915	134005133	http://www.ncbi.nlm.nih.gov/gene/7416	
VDAC2	Apoptosis	10	VDAC2: Voltage dependent anion channel forms part of permeability transition pore and also involved in the takeup of calcium ions from the Endoplasmic reticulum	ENSG00000165637	75210154	75231448	http://www.ncbi.nlm.nih.gov/gene/7417	
VDAC3	Apoptosis	8	VDAC3: Voltage dependent anion channel forms part of permeability transition pore and also involved in the takeup of calcium ions from the Endoplasmic reticulum	ENSG00000078668	42391624	42405897	http://www.ncbi.nlm.nih.gov/gene/7419	
SLC25A4	Apoptosis	4	SLC25A4: Adenine nucleotide translocator forms part of permeability transition pore	ENSG00000151729	185143241	185150382	http://www.ncbi.nlm.nih.gov/gene/291	
SLC25A5	Apoptosis	X	SLC25A5: Adenine nucleotide translocator forms part of permeability transition pore	ENSG00000005022	119468400	119471319	http://www.ncbi.nlm.nih.gov/gene/292	
SLC25A6	Apoptosis	X	SLC25A6: Adenine nucleotide translocator forms part of permeability transition pore	ENSG00000169100	1386152	1392724	http://www.ncbi.nlm.nih.gov/gene/293	
APOPT1	Apoptosis	14	APOPT1: Localizes to the mitochondria and stimulates the release of cytochrome c	ENSG00000256053	103562962	103607523	http://www.ncbi.nlm.nih.gov/gene/84334	
PPIF	Apoptosis	10	PPIF: Cyclophilin D forms part of permeability transition pore	ENSG00000108179	79347469	79355337	http://www.ncbi.nlm.nih.gov/gene/10105	
CYCS	Apoptosis	7	CYCS: Binds to apoptosis inducing factor 1 (APAF1) forming a structure called apoptosome	ENSG00000172115	25120091	25125361	http://www.ncbi.nlm.nih.gov/gene/54205	
ANP32A	Apoptosis	15	ANP32A: Enhances APAF1 function	ENSG00000140350	68778535	68820897	http://www.ncbi.nlm.nih.gov/gene/8125	
CASP9	Apoptosis	1	CASP9: Initiator caspase recruited by Apoptosome	ENSG00000132906	15490832	15526534	http://www.ncbi.nlm.nih.gov/gene/842	
CDK1	Apoptosis	10	CDK1: Can Inhibit CASP9 activity and also involved in the phosphorylation of DNM1L to increase fission	ENSG00000170312	60778331	60794852	http://www.ncbi.nlm.nih.gov/gene/983	
DNM1	Apoptosis	9	DNM1: Recruited to mitochondria can induce cristae remodelling to release cytochrome c and subsequent apoptosis	ENSG00000106976	128203352	128255248	http://www.ncbi.nlm.nih.gov/gene/1759	
MAPK3	Apoptosis	16	MAPK3: Inhibitors of CASP9 activity	ENSG00000102882	30114105	30123506	http://www.ncbi.nlm.nih.gov/gene/5595	
EIF3M	Apoptosis	11	EIF3M: PCI domain containing protein 1 can negatively regulate CASP9 activity	ENSG00000149100	32583798	32606262	http://www.ncbi.nlm.nih.gov/gene/10480	
AIFM1	Apoptosis	X	AIFM1: Mitochondria associated apoptosis inducing factor translocates to nucleus and degrades DNA	ENSG00000156709	130129362	130165887	http://www.ncbi.nlm.nih.gov/gene/9131	
PPIA	Apoptosis	7	PPIA: Cyclophilin A might work with ENDOG in a DNA degradation complex	ENSG00000196262	44796680	44824564	http://www.ncbi.nlm.nih.gov/gene/5478	
HTRA2	Apoptosis	2	HTRA2: Mitochondrial serene protease induces cell death by inhibiting Inhibitors of apoptotic proteins	ENSG00000115317	74529377	74533348	http://www.ncbi.nlm.nih.gov/gene/27429	
ALAS2	Heme Biosynthesis	X	ALAS2: Catalyzes the reaction amino acid glycine and succinyl CoA from TCA cycle condenses to form 5-aminolevulinate (ALA) and CO2	ENSG00000158578	55009055	55031064	http://www.ncbi.nlm.nih.gov/gene/212	
ALAS1	Heme Biosynthesis	3	ALAS1: Catalyzes the reaction amino acid glycine and succinyl CoA from TCA cycle condenses to form 5-aminolevulinate (ALA) and CO2	ENSG00000023330	52198086	52214327	http://www.ncbi.nlm.nih.gov/gene/211	
FECH	Heme Biosynthesis	18	FECH: Ferrochelatase catalyzes the step involving the addition of Ferrous iron into the protoprphyrin IX to form the protoheme IX	ENSG00000066926	57548283	57586772	http://www.ncbi.nlm.nih.gov/gene/2235	
PPOX	Heme Biosynthesis	1	PPOX: Enzyme protoporphyrinogen oxidase coverts Protoporphyrinogen IX to Protoporphyrin IX	ENSG00000143224	161166410	161178013	http://www.ncbi.nlm.nih.gov/gene/5498	
CPOX	Heme Biosynthesis	3	CPOX: Coproporphyrinogen III is transported to mitochondria and in the presence of coproporphyrinogen III oxidase it is oxidatively decarboxylated	ENSG00000080819	98521132	98593723	http://www.ncbi.nlm.nih.gov/gene/1371	
UROD	Heme Biosynthesis	1	UROD: Uroporphyrinogen III decarboxylase catalyzes stepwise decarboxylation of the Uroporphyrinogen III	ENSG00000126088	45012147	45015575	http://www.ncbi.nlm.nih.gov/gene/7389	
UROS	Heme Biosynthesis	10	UROS: Enzyme uroporphyrinogen III syntase catalyzes the liner tetrapyrrole molecule is cyclized or rearranged	ENSG00000188690	125784980	125823248	http://www.ncbi.nlm.nih.gov/gene/7390	
HMBS	Heme Biosynthesis	11	HMBS: Hydroxymethylbilane synthase catalyzes head to tail condensation of four PBG and subsequent deamination to form a linear tetrapyrrole, Hydroxymethylbilane	ENSG00000256269	119084866	119093549	http://www.ncbi.nlm.nih.gov/gene/3145 	
ALAD	Heme Biosynthesis	9	ALAD: ALA dehydratase catalyzes the reaction where two molecules of ALA condenses to form monopyrrole porphobilinogen (PBG)	ENSG00000148218	113386317	113401333	http://www.ncbi.nlm.nih.gov/gene/210	
CS	Tricarboxylic acid cycle	12	CS: Catalyzes the synthesis of citrate from oxaloacetate and acetyl coenzyme A	ENSG00000062485	56271699	56300392	http://www.ncbi.nlm.nih.gov/gene/1431	
ACO2	Tricarboxylic acid cycle	22	ACO2: Catalyzes the interconversion of citrate to isocitrate 	ENSG00000100412	41469125	41528989	http://www.ncbi.nlm.nih.gov/gene/50	
IDH2	Tricarboxylic acid cycle	15	IDH2: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	ENSG00000182054	90083045	90102504	http://www.ncbi.nlm.nih.gov/gene/3418	
IDH3A	Tricarboxylic acid cycle	15	IDH3A: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	ENSG00000166411	78131498	78171949	http://www.ncbi.nlm.nih.gov/gene/3419	
IDH1	Tricarboxylic acid cycle	2	IDH1: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	ENSG00000138413	208236227	208266074	http://www.ncbi.nlm.nih.gov/gene/3417	
IDH3B	Tricarboxylic acid cycle	20	IDH3B: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	ENSG00000101365	2658395	2664219	http://www.ncbi.nlm.nih.gov/gene/3420	
IDH3G	Tricarboxylic acid cycle	X	IDH3G: Catalyze the oxidative decarboxylation of isocitrate to 2-oxoglutarate	ENSG00000067829	153785766	153794523	http://www.ncbi.nlm.nih.gov/gene/3421	
OGDH	Tricarboxylic acid cycle	7	OGDH: Catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO2	ENSG00000105953	44606572	44709066	http://www.ncbi.nlm.nih.gov/gene/4967	
DLST	Tricarboxylic acid cycle	14	DLST: Catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO2	ENSG00000119689	74881891	74903745	http://www.ncbi.nlm.nih.gov/gene/1743	
DLD	Tricarboxylic acid cycle	7	DLD: Catalyzes the overall conversion of 2-oxoglutarate to succinyl-CoA and CO2	ENSG00000091140	107890970	107931730	http://www.ncbi.nlm.nih.gov/gene/1738	
SUCLG1	Tricarboxylic acid cycle	2	SUCLG1: Catalyzes the conversion of succinyl CoA to succinate	ENSG00000163541	84423523	84460045	http://www.ncbi.nlm.nih.gov/gene/8802	
SUCLA2	Tricarboxylic acid cycle	13	SUCLA2: convert succinate to succinyl-CoA	ENSG00000136143	47936491	48001354	http://www.ncbi.nlm.nih.gov/gene/8803	
SUCLG2	Tricarboxylic acid cycle	3	SUCLG2: Catalyzes the conversion of succinyl CoA to succinate	ENSG00000172340	67360460	67654614	http://www.ncbi.nlm.nih.gov/gene/8801	
SDHA	Tricarboxylic acid cycle	5	SDHA: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	ENSG00000073578	218241	256700	http://www.ncbi.nlm.nih.gov/gene/6389	
SDHB	Tricarboxylic acid cycle	1	SDHB: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	ENSG00000117118	17018722	17054170	http://www.ncbi.nlm.nih.gov/gene/6390	
SDHC	Tricarboxylic acid cycle	1	SDHC: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	ENSG00000143252	161314257	161375340	http://www.ncbi.nlm.nih.gov/gene/6391	
SDHD	Tricarboxylic acid cycle	11	SDHD: Part of Succinate dehydrogenase complex in oxidative phosporylation in TCA cycle it catalyzes the oxidation of succinate to fumarate	ENSG00000204370	112086773	112120013	http://www.ncbi.nlm.nih.gov/gene/6392	
FH	Tricarboxylic acid cycle	1	FH: Catalyzes the formation of L-malate from fumarate	ENSG00000091483	241497603	241519761	http://www.ncbi.nlm.nih.gov/gene/2271	
MDH1	Tricarboxylic acid cycle	2	MDH1: Catalyzes the reversible oxidation of malate to oxaloacetate	ENSG00000014641	63588609	63607197	https://www.ncbi.nlm.nih.gov/gene/4190
MDH2	Tricarboxylic acid cycle	7	MDH2: Catalyzes the reversible oxidation of malate to oxaloacetate	ENSG00000146701	76048051	76067508	http://www.ncbi.nlm.nih.gov/gene/4191	
BRP44	Tricarboxylic acid cycle	1	BRP44: Mitochondrial pyruvate carrier 2	ENSG00000143158	167916729	167937040	http://www.ncbi.nlm.nih.gov/gene/25874	Also known as MPC2
BRP44L	Tricarboxylic acid cycle	6	BRP44L: Mitochondrial pyruvate carrier 1	ENSG00000060762	166364919	166383013	http://www.ncbi.nlm.nih.gov/gene/51660	Also known as MPC1
PDHA1	Tricarboxylic acid cycle	X	PDHA1: Catalyzes the overall conversion of pyruvate to acetyl-CoA	ENSG00000131828	19343893	19361705	http://www.ncbi.nlm.nih.gov/gene/5160	
PDHA2	Tricarboxylic acid cycle	4	PDHA2: Catalyzes the overall conversion of pyruvate to acetyl-CoA	ENSG00000163114	95840019	95841474	http://www.ncbi.nlm.nih.gov/gene/5161	
PDHB	Tricarboxylic acid cycle	3	PDHB: Catalyzes the overall conversion of pyruvate to acetyl-CoA	ENSG00000168291	58427630	58433857	http://www.ncbi.nlm.nih.gov/gene/5162	
PDHX	Tricarboxylic acid cycle	11	PDHX: Catalyzes the conversion of pyruvate to acetyl coenzyme A	ENSG00000110435	34915829	35020591	http://www.ncbi.nlm.nih.gov/gene/8050	
DLAT	Tricarboxylic acid cycle	11	DLAT: Catalyzes the conversion of pyruvate to acetyl coenzyme A	ENSG00000150768	112024814	112064390	http://www.ncbi.nlm.nih.gov/gene/1737
SLC2A1	Glycolysis	1	SLC2A1: A major glucose transporter in the mammalian blood-brain barrier	ENSG00000117394	42925375	42959173	http://www.ncbi.nlm.nih.gov/gene/6513	
SLC2A2	Glycolysis	3	SLC2A2: Mediates facilitated bidirectional glucose transport of the liver, islet beta cells, intestine, and kidney epithelium	ENSG00000163581	170996348	171026750	http://www.ncbi.nlm.nih.gov/gene/6514	
SLC2A3	Glycolysis	12	SLC2A3: Solute carrier family 2 (facilitated glucose transporter), member 3	ENSG00000059804	7919230	7936275	http://www.ncbi.nlm.nih.gov/gene/6515	
SLC2A4	Glycolysis	17	SLC2A4: Insulin-regulated facilitative glucose transporter	ENSG00000181856	7281667	7288257	http://www.ncbi.nlm.nih.gov/gene/6517	
SLC2A5	Glycolysis	1	SLC2A5: Solute carrier family 2 (facilitated glucose/fructose transporter), member 5	ENSG00000142583	9035107	9088478	http://www.ncbi.nlm.nih.gov/gene/6518	
HK1	Glycolysis	10	HK1: Hexokinases phosphorylate glucose to produce glucose-6-phosphate	ENSG00000156515	69269984	69401882	http://www.ncbi.nlm.nih.gov/gene/3098	
HK2	Glycolysis	2	HK2: Hexokinases phosphorylate glucose to produce glucose-6-phosphate	ENSG00000159399	74833981	74893359	http://www.ncbi.nlm.nih.gov/gene/3099	
HK3	Glycolysis	5	HK3: Hexokinases phosphorylate glucose to produce glucose-6-phosphate	ENSG00000160883	176880869	176899332	http://www.ncbi.nlm.nih.gov/gene/3101	
GCK	Glycolysis	7	GCK: Hexokinases phosphorylate glucose to produce glucose-6-phosphate	ENSG00000106633	44144271	44198170	http://www.ncbi.nlm.nih.gov/gene/2645	
GPI	Glycolysis	19	GPI: Glycolytic enzyme that interconverts glucose-6-phophsate and fructose-6-phosphate	ENSG00000105220	34359480	34402156	http://www.ncbi.nlm.nih.gov/gene/2821	
PFKL	Glycolysis	21	PFKL: Catalyzes the conversion of fructose 6-phosphate to fructose 1,6-bisphosphate	ENSG00000141959	44300051	44327376	http://www.ncbi.nlm.nih.gov/gene/5211	
PFKM	Glycolysis	12	PFKM: Catalyzes the phosphorylation of fructose-6-phosphate to fructose-1,6-bisphosphate	ENSG00000152556	48105139	48146404	http://www.ncbi.nlm.nih.gov/gene/5213	
PFKP	Glycolysis	10	PFKP: Catalyzes the irreversible conversion of fructose-6-phosphate to fructose-1,6-bisphosphate	ENSG00000067057	3066333	3137712	http://www.ncbi.nlm.nih.gov/gene/5214	
ALDOA	Glycolysis	16	ALDOA: Catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate	ENSG00000149925	30053090	30070457	http://www.ncbi.nlm.nih.gov/gene/226	
ALDOB	Glycolysis	9	ALDOB: Catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate	ENSG00000136872	101420578	101435823	http://www.ncbi.nlm.nih.gov/gene/229	
ALDOC	Glycolysis	17	ALDOC: Catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate	ENSG00000109107	28573115	28577264	http://www.ncbi.nlm.nih.gov/gene/230	
TPI1	Glycolysis	12	TPI1: Catalyzes the isomerization of glyceraldehydes 3-phosphate and dihydroxy-acetone phosphate	ENSG00000111669	6867119	6870948	http://www.ncbi.nlm.nih.gov/gene/7167	
GAPDH	Glycolysis	12	GAPDH: Catalyzes the reversible oxidative phosphorylation of glyceraldehyde-3-phosphate and may also inhibit Caspase independent cell death in apoptosis	ENSG00000111640	6533927	6538374	http://www.ncbi.nlm.nih.gov/gene/2597	
GAPDHS	Glycolysis	19	GAPDHS: Catalyzes the reversible oxidative phosphorylation of glyceraldehyde-3-phosphate	ENSG00000105679	35533412	35545316	http://www.ncbi.nlm.nih.gov/gene/26330	
PGK1	Glycolysis	X	PGK1: Catalyzes the conversion of 1,3-diphosphoglycerate to 3-phosphoglycerate	ENSG00000102144	78065188	78129296	http://www.ncbi.nlm.nih.gov/gene/5230	
PGK2	Glycolysis	6	PGK2: Catalyzes the reversible conversion of 1,3-bisphosphoglycerate to 3-phosphoglycerate	ENSG00000170950	49785651	49787307	http://www.ncbi.nlm.nih.gov/gene/5232	
PGAM1	Glycolysis	10	PGAM1: Catalyzes the reversible reaction of 3-phosphoglycerate to 2-phosphoglycerate	ENSG00000171314	97426160	97433441	http://www.ncbi.nlm.nih.gov/gene/5223	
PGAM2	Glycolysis	7	PGAM2: Catalyzes the reversible reaction of 3-phosphoglycerate to 2-phosphoglycerate	ENSG00000164708	44062727	44065587	http://www.ncbi.nlm.nih.gov/gene/5224	
ENO1	Glycolysis	1	ENO1: Catalyzes the dehydration of 2-phosphoglycerate to phosphoenolpyruate	ENSG00000074800	8861002	8879249	http://www.ncbi.nlm.nih.gov/gene/2023	
ENO2	Glycolysis	12	ENO2: Catalyzes the dehydration of 2-phosphoglycerate to phosphoenolpyruate	ENSG00000111674	6913745	6923698	http://www.ncbi.nlm.nih.gov/gene/2026	
ENO3	Glycolysis	17	ENO3: Catalyzes the dehydration of 2-phosphoglycerate to phosphoenolpyruate	ENSG00000108515	4948092	4957131	http://www.ncbi.nlm.nih.gov/gene/2027	
PKLR	Glycolysis	1	PKLR: Catalyzes the transphosphorylation of phohsphoenolpyruvate into pyruvate and ATP	ENSG00000143627	155289839	155301434	http://www.ncbi.nlm.nih.gov/gene/5313	
PKM2	Glycolysis	15	PKM2: Catalyzes the transphosphorylation of phohsphoenolpyruvate into pyruvate and ATP	ENSG00000067225	72199029	72231822	http://www.ncbi.nlm.nih.gov/gene/5315	Also known as PKM1
LDHAL6B	Glycolysis	15	LDHAL6B: Catalyzes the interconversion of pyruvate to lactate and back	ENSG00000171989	59206823	59208515	http://www.ncbi.nlm.nih.gov/gene/92483	
LDHC	Glycolysis	11	LDHC: Catalyzes the interconversion of pyruvate to lactate and back	ENSG00000166796	18412307	18452058	http://www.ncbi.nlm.nih.gov/gene/3948	
LDHB	Glycolysis	12	LDHB: Catalyzes the interconversion of pyruvate to lactate and back	ENSG00000111716	21635342	21757857	http://www.ncbi.nlm.nih.gov/gene/3945	
LDHA	Glycolysis	11	LDHA: Catalyzes the interconversion of pyruvate to lactate and back	ENSG00000134333	18394388	18408425	http://www.ncbi.nlm.nih.gov/gene/3939	
G6PC	Glycolysis	17	G6PC: Glucose-6-phosphatase catalyzes the hydrolysis of D-glucose 6-phosphate to D-glucose and orthophosphate and functioning in gluconeogenesis and glycogenolysis	ENSG00000131482	42900797	42914433	https://www.ncbi.nlm.nih.gov/gene/2538
FBP1	Glycolysis	9	FBP1: Catalyzes the hydrolysis of fructose 1-6-bisphosphate to fructose 6-phosphate and inorganic phosphate and functioning in gluconeogenesis	ENSG00000165140	94603133	94640257	https://www.ncbi.nlm.nih.gov/gene/2203
FBP2	Glycolysis	9	FBP2: Catalyzes the hydrolysis of fructose 1-6-bisphosphate to fructose 6-phosphate and inorganic phosphate and functioning in gluconeogenesis	ENSG00000130957	94558714	94593832	https://www.ncbi.nlm.nih.gov/gene/8789
PCK1	Glycolysis	20	PCK1: Catalyzes the formation of phosphoenolpyruvate from oxaloacetate along with GTP and regulate gluconeogenesis	ENSG00000124253	57561081	57566461	https://www.ncbi.nlm.nih.gov/gene/5105
PC	Glycolysis	11	PC: Catalyzes the carboxylation of pyruvate to oxaloacetate and involved in glyconeogensis. Located exclusively in the mitochondrial matrix	ENSG00000173599	66848522	66958418	https://www.ncbi.nlm.nih.gov/gene/5091
ACAD9	Electron transport chain	3	ACAD9: Role in the assembly of Complex I and might also be involved in the Fatty acid beta-oxidation	ENSG00000177646	128879596	128916067	http://www.ncbi.nlm.nih.gov/gene/28976	
FOXRED1	Electron transport chain	11	FOXRED1: Complex I assembly factor	ENSG00000110074	126269055	126278131	http://www.ncbi.nlm.nih.gov/gene/55572	
ATPAF1	Electron transport chain	1	ATPAF1: Complex V assembly factor, essential for assembly of alpha + beta heterooligomer	ENSG00000123472	46632737	46673867	http://www.ncbi.nlm.nih.gov/gene/64756	
ATPAF2	Electron transport chain	17	ATPAF2: Complex V assembly factor, essential for assembly of alpha + beta heterooligome	ENSG00000171953	17977409	18039209	http://www.ncbi.nlm.nih.gov/gene/91647	
BCS1L	Electron transport chain	2	BCS1L: Involved in the assembly of complex III of the mitochondrial respiratory chain	ENSG00000074582	218658764	218663443	http://www.ncbi.nlm.nih.gov/gene/617	
C7orf44	Electron transport chain	7	C7orf44: COA1 Complex IV assembly factor	ENSG00000106603	43608456	43729717	http://www.ncbi.nlm.nih.gov/gene/55744	Also known as COA1
CCDC56	Electron transport chain	17	CCDC56: COA3 Complex IV assembly factor	ENSG00000183978	42795147	42798704	http://www.ncbi.nlm.nih.gov/gene/28958	Also known as COA3
CHCHD8	Electron transport chain	11	CHCHD8: COA4 Complex IV assembly factor	ENSG00000181924	73872667	73876988	http://www.ncbi.nlm.nih.gov/gene/51287	Also known as COA4
COA5	Electron transport chain	2	COA5: Complex IV assembly factor	ENSG00000183513	98599310	98608515	http://www.ncbi.nlm.nih.gov/gene/493753	
C1orf31	Electron transport chain	1	C1orf31: COA6 Complex IV assembly factor	ENSG00000168275	234373456	234384049	http://www.ncbi.nlm.nih.gov/gene/388753	Also known as COA6
SELRC1	Electron transport chain	1	SELRC1: COA7 Complex IV assembly factor	ENSG00000162377	52684451	52698366	http://www.ncbi.nlm.nih.gov/gene/65260	Also known as COA7
COX10	Electron transport chain	17	COX10: Complex IV assembly factor	ENSG00000006695	14069496	14208677	http://www.ncbi.nlm.nih.gov/gene/1352	
COX11	Electron transport chain	17	COX11: Complex IV assembly factor	ENSG00000166260	54951902	54968785	http://www.ncbi.nlm.nih.gov/gene/1353 	
COX14	Electron transport chain	12	COX14: Complex IV assembly factor	ENSG00000178449	50111979	50120457	http://www.ncbi.nlm.nih.gov/gene/84987	
COX15	Electron transport chain	10	COX15: Complex IV assembly factor, may function in the regulation and assembly of the complex	ENSG00000014919	99711844	99732100	http://www.ncbi.nlm.nih.gov/gene/1355	
COX17	Electron transport chain	3	COX17: Complex IV assembly factor, may function in the regulation and assembly of the complex	ENSG00000138495	119654513	119677454	http://www.ncbi.nlm.nih.gov/gene/10063 	
COX18	Electron transport chain	4	COX18: Complex IV assembly factor	ENSG00000163626	73052362	73069755	http://www.ncbi.nlm.nih.gov/gene/285521	
COX19	Electron transport chain	7	COX19: Complex IV assembly factor	ENSG00000240230	898778	975599	http://www.ncbi.nlm.nih.gov/gene/90639	
COX20	Electron transport chain	1	COX20: Complex IV assembly factor	ENSG00000203667	244835322	244845057	http://www.ncbi.nlm.nih.gov/gene/116228	
ECSIT	Electron transport chain	19	ECSIT: Interactcs with NDUFAF1 and functions in Complex I assembly	ENSG00000130159	11505916	11529174	http://www.ncbi.nlm.nih.gov/gene/51295	
NDUFAF1	Electron transport chain	15	NDUFAF1: Required in the assembly of Complex I	ENSG00000137806	41387349	41402519	http://www.ncbi.nlm.nih.gov/gene/51103	
NDUFAF2	Electron transport chain	5	NDUFAF2: Required in the assembly of Complex I	ENSG00000164182	60945129	61153037	http://www.ncbi.nlm.nih.gov/gene/91942	
NDUFAF3	Electron transport chain	3	NDUFAF3: Required in the assembly of Complex I	ENSG00000178057	49020459	49023495	http://www.ncbi.nlm.nih.gov/gene/25915	
NDUFAF4	Electron transport chain	6	NDUFAF4: Complex I assembly factor required in the assembly of Complex I	ENSG00000123545	96889313	96897881	http://www.ncbi.nlm.nih.gov/gene/29078	
C20orf7	Electron transport chain	20	C20orf7: NDUFAF5 is required for complex I assembly	ENSG00000101247	13784950	13821582	http://www.ncbi.nlm.nih.gov/gene/79133	Also known as NDUFAF5
C8orf38	Electron transport chain	8	C8orf38: NDUFAF6 important role in the assembly of complex I	ENSG00000156170	94895767	95116455	http://www.ncbi.nlm.nih.gov/gene/137682	Also known as NDUFAF6
