gene	process	chr	function	ENSG
CISD2	Electron Transport Chain	NA	Two-iron-two-sulfur cluster binding; molecular_function	NA
MRPS35	Translation	NA	structural constituent of ribosome	NA
GPAM	Metabolism of Lipids & Lipoproteins	NA	glycerol-3-phosphate O-acyltransferase activity	NA
CMC1	Electron Transport Chain	NA	copper ion binding	NA
MRPS5	Translation	NA	RNA binding; structural constituent of ribosome	NA
GPAT2	Metabolism of Lipids & Lipoproteins	NA	glycerol-3-phosphate O-acyltransferase activity	NA
COA3	Electron Transport Chain	NA	  	NA
GPD1	Electron Transport Chain	NA	DNA binding; glycerol-3-phosphate dehydrogenase [NAD+] activity; NAD binding; protein homodimerization activity	NA
TFB1M	Electron Transport Chain	NA	  	NA
GPI	Glycolysis	NA		NA
COA6	Electron Transport Chain	NA	cytochrome-c oxidase activity	NA
GPT2	Amino Acid Metabolism	NA	L-alanine:2-oxoglutarate aminotransferase activity; pyridoxal phosphate binding	NA
COQ10B	Electron Transport Chain	NA	ubiquinone binding	NA
SLC25A11	Mitochondrial Carrier	NA	transmembrane transporter activity	NA
GPX1	ROS Defense	NA	glutathione peroxidase activity	NA
COQ10A	Electron Transport Chain	NA	ubiquinone binding	NA
COQ7	Ubiquinone Biosynthesis	NA	  metal ion binding; oxidoreductase acitivity	NA
SLC25A24	Mitochondrial Carrier	NA	calcium ion binding; transmembrane transporter activity	NA
SLC25A23	Mitochondrial Carrier	NA	calcium ion binding; transmembrane transporter activity	NA
SLC25A25	Mitochondrial Carrier	NA	calcium ion binding; transmembrane transporter activity	NA
SLC25A41	Mitochondrial Carrier	NA	calcium ion binding; transmembrane transporter activity	NA
SLC3A1	Mitochondrial Carrier	NA	alpha-glucosidase activity; catalytic activity; cation binding	NA
MRPL34	Translation	NA	structural constituent of ribosome	NA
MRPL35	Translation	NA	structural constituent of ribosome	NA
MRPL36	Translation	NA	structural constituent of ribosome	NA
MRPL37	Translation	NA	structural constituent of ribosome	NA
MRPL38	Translation	NA	phosphatidylethanolamine binding; structural constituent of ribosome	NA
EFHD1	Calcium Signaling & Transport	NA	calcium ion binding	NA
MRPL39	Translation	NA	nucleotide binding; structural constituent of ribosome; threonine-tRNA ligase activity	NA
MRPL3	Translation	NA	structural constituent of ribosome	NA
MRPS6	Translation	NA	rRNA binding; structural constituent of ribosome	NA
ENDOG	Replication & Transcription	NA	endonuclease activity; metal ion binding; nucleic acid binding	NA
MRPL40	Translation	NA	structural constituent of ribosome	NA
MRPS7	Translation	NA	RNA binding; structural constituent of ribosome	NA
ENO1	Glycolysis	NA		NA
MRPL41	Translation	NA	structural constituent of ribosome	NA
MRPS9	Translation	NA	structural constituent of ribosome	NA
ETFDH	Electron Transport Chain	NA	electron-transferring-flavoprotein dehydrogenase activity	NA
MRPL42	Translation	NA	structural constituent of ribosome	NA
MRRF	Translation	NA	ribosomal large subunit binding	NA
ETHE1	Amino Acid Metabolism	NA	hydrolase activity	NA
MSTO1	Mitochondrial Dynamics	NA	molecular_function	NA
GPX4	ROS Defense	NA	glutathione peroxidase activity	NA
EXOG	Replication & Transcription	NA	hydrolase activity; metal ion binding; nucleic acid binding	NA
GPX4	ROS Defense	NA	cis-stilbene-oxide hydrolase activity; epoxide hydrolase activity; juvenile hormone epoxide hydrolase activity	NA
FAHD1	Amino Acid Metabolism	NA	catalytic activity	NA
MTERFD1	Translation	NA	double-stranded DNA binding; single -stranded RNA binding; small ribosomal subunit rRNA binding 	NA
GTPBP3	Translation	NA	GTP binding; GTPase activity	NA
FASN	Fatty Acid Biosynthesis	NA	fatty acid synthase activity; hydrolase activity acting on ester bonds; oxidoreductase activity; zinc ion binding	NA
mTErf3	Translation	NA	double-stranded DNA binding; single -stranded RNA binding; small ribosomal subunit rRNA binding 	NA
GTPBP5	Translation	NA	GTP binding; GTPase activity; magnesium ion binding	NA
MTERFD2	Translation	NA	  double-stranded DNA binding; rRNA binding; single-stranded RNA binding	NA
GTPBP10	Translation	NA	GTP binding; GTPase activity; magnesium ion binding	NA
GTPBP5	Translation	NA	GTP binding; GTPase activity; magnesium ion binding; molecular_function	NA
GTPBP10	Translation	NA	GTP binding; GTPase activity; magnesium ion binding; molecular_function	NA
HAGH	Pyruvate Metabolism	NA	hydroxyacylglutathione hydrolase activity; zinc ion binding	NA
SLC44A1	Mitochondrial Carrier	NA	molecular_function	NA
HEMK1	Translation	NA	nucleic acid binding; oxygen-dependent protoporphyrinogen oxidase activity; protein methyltransferase activity	NA
SLIRP	Translation	NA	mRNA binding; nucleic acid binding; nucleotide binding	NA
SLIRP	Translation	NA	mRNA binding; nucleotide binding	NA
SLMO1	Metabolism of Lipids & Lipoproteins	NA	molecular_function	NA
SLMO2	Metabolism of Lipids & Lipoproteins	NA	molecular_function	NA
SORD	Fructose Metabolism	NA	L-iditol 2-dehydrogenase activity; zinc ion binding	NA
SQRDL	Amino Acid Metabolism	NA	oxidoreductase activity	NA
STOML2	Calcium Signaling & Transport	NA	Unknown from fly file  	NA
SUOX	Amino Acid Metabolism	NA	electron carrier activity; heme binding; molybdenum ion binding; sulfite oxidase activity	NA
TACO1	Translation	NA	Unknown from fly file  	NA
MRPL43	Translation	NA	structural constituent of ribosome	NA
MRPL44	Translation	NA	ribonuclease III activity; RNA binding; structural constituent of ribosome	NA
MRPL45	Translation	NA	structural constituent of ribosome	NA
MRPL46	Translation	NA	hydrolase activity; structural constituent of ribosome	NA
MRPL47	Translation	NA	structural constituent of ribosome	NA
FDPS	Metabolism of Lipids & Lipoproteins	NA	dimethylallyltranstransferase activity; geranyltranstransferase activity	NA
MRPL48	Translation	NA	structural constituent of ribosome	NA
FDXR	Fe-S cluster biosynthesis	NA	electron carrier activity; ferredoxin-NADP+ reductase activity; NADPH-adrenodoxin reductase activity	NA
MRPL49	Translation	NA	structural constituent of ribosome; translation initiation factor activity	NA
mTerf4	Translation	NA	  double-stranded DNA binding; rRNA binding; single-stranded RNA binding	NA
FGR	Mitochondrial Signaling	NA	ATP binding; protein tyrosine kinase activity	NA
MRPL4	Translation	NA	structural constituent of ribosome	NA
MTFMT	Translation	NA	methionyl-tRNA formyltransferase activity	NA
LYN	Mitochondrial Signaling	NA	ATP binding; protein tyrosine kinase activity	NA
MRPL50	Translation	NA	structural constituent of ribosome	NA
MTFP1	Mitochondrial Dynamics	NA	  	NA
SRC	Mitochondrial Signaling	NA	ATP binding; protein tyrosine kinase activity	NA
MRPL51	Translation	NA	structural constituent of ribosome	NA
MTIF2	Translation	NA	GTP binding; GTPase activity; translation initiation factor activity	NA
FKBP8	Apoptosis	NA	FK506 binding; peptidyl-prolyl cis-trans isomerase activity	NA
MTO1	Translation	NA	flavin adenine dinucleotide binding	NA
HIBADH	Amino Acid Metabolism	NA	3-hydroxyisobutyrate dehydrogenase activity; NAD binding; phosphogluconate dehydrogenase (decarboxylating) activity	NA
MTPAP	Translation	NA		NA
HIBCH	Amino Acid Metabolism	NA	3-hydroxyisobutyryl-CoA hydrolase activity	NA
MTRF1	Translation	NA	translation release factor activity codon specific	NA
HIGD2A	Electron Transport Chain	NA	Unknown from fly file  	NA
FTH1	Heme Biosynthesis	NA	ferric iron binding; ferrous iron binding	NA
MTRF1L	Translation	NA	translation release factor activity codon specific	NA
HINT2	Apoptosis	NA	nucleotidase activity	NA
MTX1	Import & Sorting	NA	  	NA
MTX3	Import & Sorting	NA	  	NA
HMGCL	Amino Acid Metabolism	NA	hydroxymethylglutaryl-CoA lyase activity	NA
TACO1	Translation	NA	protein phosphatase 1 binding	NA
HMGCS2	Amino Acid Metabolism	NA	hydroxymethylglutaryl-CoA synthase activity	NA
FASTK	Electron Transport Chain	NA	protein kinase activity	NA
TCAIM	Mitochondrial Dynamics	NA	Unknown from fly file	NA
TCAIM	Mitochondrial Dynamics	NA	Unknown from fly file  	NA
TEFM	Replication & Transcription	NA	Unknown from fly file  	NA
THG1L	Translation	NA	magnesium ion binding; tRNA guanylyltransferase activity	NA
TIMM29	Import & Sorting	NA	Unknown from fly file  	NA
NARS	Translation	NA	aspartate-tRNA ligase activity; ATP binding; nucleic acid binding	NA
NARS2	Translation	NA	aspartate-tRNA ligase activity; ATP binding; nucleic acid binding	NA
HRSP12	Translation	NA	deaminase activity	NA
ND1	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
HSCB	Fe-S cluster biosynthesis	NA	chaperone binding; molecular_function	NA
NDUFS6	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
ND2	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
HSD17B4	Bile Acid Synthesis	NA	3R-hydroxyacyl-CoA dehydratase activity; enoyl-CoA hydratase activity; oxidoreductase activity; protein homodimerization activity	NA
ND3	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
NDUFS8	Electron Transport Chain	NA	4 iron 4 sulfur cluster binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
ND4	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
HSD3B1	Metabolism of Lipids & Lipoproteins	NA	3-beta-hydroxy-delta5-steroid dehydrogenase activity; oxidoreductase activity acting on CH-OH group of donors	NA
NDUFV1	Electron Transport Chain	NA	4 iron 4 sulfur cluster binding; FMN binding; NAD binding; NADH dehydrogenase (ubiquinone) activity	NA
ND4L	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; oxidoreductase activity acting on NAD(P)H	NA
HSD3B2	Metabolism of Lipids & Lipoproteins	NA	3-beta-hydroxy-delta5-steroid dehydrogenase activity; oxidoreductase activity acting on CH-OH group of donors	NA
NDUFV1	Electron Transport Chain	NA	4 iron 4 sulfur cluster binding; FMN binding; NAD binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
MTHFD2L	Folate & Pterine Metabolism	NA	formate-tetrahydrofolate ligase activity; magnesium ion binding; methenyltetrahydrofolate cyclohydrolase activity; methylenetetrahydrofolate dehydrogenase (NAD+) activity; methylenetetrahydrofolate dehydrogenase (NADP+) activity	NA
HSPA1B	Apoptosis	NA	ATPase activity	NA
NDUFV1	Electron Transport Chain	NA	4 iron 4 sulfur cluster binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
MTHFS	Folate & Pterine Metabolism	NA	5-formyltetrahydrofolate cyclo-ligase activity; ATP binding	NA
HSPA1B	Apoptosis	NA	ATPase activity; chaperone binding; unfolded protein binding	NA
MTOR	Mitochondrial Signaling	NA	drug binding; phosphotransferase activity alcohol group as acceptor; protein kinase activity; protein self-association	NA
HSPA1B	Apoptosis	NA	ATPase activity; unfolded protein binding	NA
NFS1	Fe-S cluster biosynthesis	NA	cystathionine gamma-lyase activity; cysteine desulfurase activity; pyridoxal phosphate binding	NA
TK2	Replication & Transcription	NA	ATP binding; deoxynucleoside kinase activity; kinase activity; phosphotransferase activity alcohol group as acceptor; thymidine kinase activity	NA
MUL1	Protein Stability & Degradation	NA	ubiquitin-protein ligase activity; zinc ion binding	NA
HSPA1B	Apoptosis	NA	unfolded protein binding	NA
NFU1	Fe-S cluster biosynthesis	NA	ATP binding; ATP-dependent helicase activity; iron ion binding; iron-sulfur cluster binding; molecular_function; nucleic acid binding	NA
TMEM173	Apoptosis	NA	cyclic-di-GMP binding	NA
NADKD1	Amino Acid Metabolism	NA	NAD+ kinase activity	NA
TMEM186	Electron Transport Chain	NA	Unknown from fly file  	NA
NFS1	Fe-S cluster biosynthesis	NA	  	NA
TMEM65	Calcium Signaling & Transport	NA	Unknown from fly file  	NA
NIT1	Amino Acid Metabolism	NA	bis(5'-adenosyl)-triphosphatase activity; hydrolase activity acting on carbon-nitrogen (but not peptide) bonds; nitrilase activity	NA
TOP1MT	Replication & Transcription	NA	DNA binding; DNA topoisomerase activity; DNA topoisomerase type I activity; DNA topoisomerase type II (ATP-hydrolyzing) activity; protein kinase activity	NA
NIT2	Amino Acid Metabolism	NA	bis(5'-adenosyl)-triphosphatase activity; hydrolase activity acting on carbon-nitrogen (but not peptide) bonds; nitrilase activity	NA
TOP3A	Replication & Transcription	NA	DNA binding; DNA topoisomerase activity; DNA topoisomerase type I activity; zinc ion binding	NA
NIT1	Amino Acid Metabolism	NA	nitrilase activity	NA
TPI1	Glycolysis	NA		NA
NIT2	Amino Acid Metabolism	NA	nitrilase activity	NA
TRAP1	Apoptosis	NA	ATP binding; ATPase activity; unfolded protein binding	NA
TRMT10C	Translation	NA	methyltransferase activity	NA
ND5	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
ND6	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
NDUFA10	Electron Transport Chain	NA	ATP binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity; phosphotransferase activity alcohol group as acceptor	NA
NDUFA11	Electron Transport Chain	NA	ligand Ubiquinone	NA
NDUFA12	Electron Transport Chain	NA	electron carrier activity; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
HSPA9	Import & Sorting	NA	ATP binding; ATPase activity; unfolded protein binding	NA
NDUFA13	Electron Transport Chain	NA	NADH dehydrogenase activity	NA
NIF3L1	Replication & Transcription	NA	molecular_function	NA
NDUFA1	Electron Transport Chain	NA	molecular_function	NA
HSPD1	Import & Sorting	NA	ATP binding; ATPase activity coupled; unfolded protein binding	NA
NSUN3	Translation	NA	methyltransferase activity	NA
NDUFA2	Electron Transport Chain	NA	NADH dehydrogenase activity	NA
HSPD1	Import & Sorting	NA	ATP binding; unfolded protein binding	NA
NSUN4	Translation	NA	methyltransferase activity	NA
NDUFA4	Electron Transport Chain	NA	NADH dehydrogenase activity	NA
NDUFA5	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
IDE	Mitochondrial Signaling	NA	metal ion binding; metalloendopeptidase activity; zinc ion binding	NA
NLN	Protein Stability & Degradation	NA	metalloendopeptidase activity	NA
NRD1	Mitochondrial Signaling	NA	metal ion binding; metalloendopeptidase activity; zinc ion binding	NA
NME6	Nucleotide Metabolism	NA	ATP binding; nucleoside diphosphate kinase activity	NA
IVD	Amino Acid Metabolism	NA	flavin adenine dinucleotide binding; isovaleryl-CoA dehydrogenase activity	NA
OGG1	ROS Defense	NA	damaged DNA binding; DNA-(apurinic or apyrimidinic site) lyase activity; oxidized purine nucleobase lesion DNA N-glycosylase activity	NA
NOA1	Translation	NA	GTP binding; GTPase activity	NA
KIAA1279	Mitochondrial Dynamics	NA	kinesin binding	NA
OXA1L	Electron Transport Chain	NA	protein transporter activity	NA
TRMT10C	Translation	NA	molecular_function	NA
NTHL1	Replication & Transcription	NA	4 iron 4 sulfur cluster binding; DNA binding; oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	NA
KMO	Amino Acid Metabolism	NA	kynurenine 3-monooxygenase activity	NA
OXR1	ROS Defense	NA	  	NA
TRMT5	Translation	NA	tRNA (guanine-N1-)-methyltransferase activity; tRNA methyltransferase activity	NA
NUBPL	Electron Transport Chain	NA	nucleotide binding	NA
OXSM	Fatty Acid Biosynthesis	NA	3-oxoacyl-[acyl-carrier-protein] synthase activity	NA
TRMU	Translation	NA	sulfurtransferase activity; tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity	NA
TRNT1	Translation	NA	polynucleotide adenylyltransferase activity; RNA binding; tRNA nucleotidyltransferase activity	NA
NUDT2	ROS Defense	NA	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity	NA
TSTD1	Electron Transport Chain	NA	unfolded protein binding	NA
NUDT6	Apoptosis	NA	hydrolase activity	NA
TXN	ROS Defense	NA	disulfide oxidoreductase activity; protein disulfide oxidoreductase activity	NA
NUDT9	Nucleotide Metabolism	NA	hydrolase activity	NA
TYMS	Nucleotide Metabolism	NA	thymidylate synthase activity	NA
OAT	Amino Acid Metabolism	NA	ornithine-oxo-acid transaminase activity; pyridoxal phosphate binding	NA
UBA1	Protein Stability & Degradation	NA	ATP binding; ubiquitin activating enzyme activity; ubiquitin-protein ligase activity	NA
UQCC	Electron Transport Chain	NA	  	NA
USMG5	Electron Transport Chain	NA	Unknown from fly file  	NA
NDUFA6	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFA7	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
NDUFA7	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFA8	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFA9	Electron Transport Chain	NA	coenzyme binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
L2HGDH	Pyruvate Metabolism	NA	oxidoreductase activity	NA
NDUFAB1	Electron Transport Chain	NA	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process; phosphopantetheine binding	NA
LACE1	Protein Stability & Degradation	NA	ATP binding; ATPase activity	NA
NDUFAF1	Electron Transport Chain	NA	unfolded protein binding	NA
LACTB2	Translation	NA	hydrolase activity; molecular_function	NA
PACRG	Apoptosis	NA	G-protein coupled receptor binding	NA
NDUFAF3	Electron Transport Chain	NA	  	NA
LIPT1	Lipoic Acid Metabolism	NA	Unknown from fly file  	NA
PAM16	Import & Sorting	NA		NA
NDUFAF4	Electron Transport Chain	NA	molecular_function	NA
LONP1	Protein Stability & Degradation	NA	ATP binding; ATP-dependent peptidase activity; mitochondrial light strand promoter anti-sense binding; serine-type endopeptidase activity; single-stranded DNA binding; single-stranded RNA binding	NA
PAM16	Import & Sorting	NA	molecular_function	NA
NDUFAF5	Electron Transport Chain	NA	methyltransferase activity	NA
LYPLA1	Fatty Acid Metabolism	NA	carboxylic ester hydrolase activity	NA
PARK7	ROS Defense	NA	glyoxalase III activity; protein deglkcase activity; transcription coactivator activity	NA
OPA1	Mitochondrial Dynamics	NA	GTP binding; GTPase activity	NA
LYRM4	Fe-S cluster biosynthesis	NA	molecular_function	NA
PARK7	ROS Defense	NA	glyoxalase III activity| protein deglycase activity; transcription coactivator activity	NA
OPA3	Metabolism of Lipids & Lipoproteins	NA	molecular_function	NA
LYRM5	Electron Transport Chain	NA	Unknown from fly file  	NA
PARL	Apoptosis	NA	serine-type endopeptidase activity	NA
OSGEPL1	Translation	NA	molecular_function	NA
LYRM7	Electron Transport Chain	NA	Unknown from fly file  	NA
PARS2	Translation	NA	ATP binding; glycine-tRNA ligase activity; proline-tRNA ligase activity	NA
USP30	Mitochondrial Dynamics	NA	ubiquitin thiolesterase activity	NA
OXCT1	Amino Acid Metabolism	NA	3-oxoacid CoA-transferase activity	NA
MACROD1	Mitochondrial Signaling	NA	molecular_function	NA
PC	Amino Acid Metabolism	NA	ATP binding; biotin carboxylase activity; DNA binding; metal ion binding; pyruvate carboxylase activity	NA
WARS2	Translation	NA	ATP binding; tryptophan-tRNA ligase activity	NA
OXCT2	Amino Acid Metabolism	NA	3-oxoacid CoA-transferase activity	NA
XPNPEP3	Protein Stability & Degradation	NA	aminopeptidase activity; dipeptidase activity; dipeptidyl-peptidase activity; manganese ion binding	NA
Opa3 like	Metabolism of Lipids & Lipoproteins	NA	  	NA
XPNPEP3	Protein Stability & Degradation	NA	aminopeptidase activity; manganese ion binding; metalloexopeptidase activity	NA
P4HA1	Amino Acid Metabolism	NA	iron ion binding; L-ascorbic acid binding; oxidoreductase activity acting on single donors with incorporation of molecular oxygen incorporation of two atoms of oxygen; procollagen-proline 4-dioxygenase activity	NA
PANK2	Metabolism of Vitamins & Co-Factors	NA	ATP binding; pantothenate kinase activity	NA
PARK2	Protein Stability & Degradation	NA	ubiquitin conjugating enzyme binding; ubiquitin-protein ligase activity; zinc ion binding	NA
PCBD2	Amino Acid Metabolism	NA	4-alpha-hydroxytetrahydrobiopterin dehydratase activity	NA
NDUFAF6	Electron Transport Chain	NA	molecular_function; transferase activity	NA
NDUFAF7	Electron Transport Chain	NA	molecular_function	NA
NDUFB10	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFB11	Electron Transport Chain	NA	molecular_function	NA
NDUFB1	Electron Transport Chain	NA	NADH dehydrogenase activity	NA
MAOB	Amino Acid Metabolism	NA	oxidoreductase activity	NA
NDUFB2	Electron Transport Chain	NA	ligand Ubiquinone	NA
MARC2	Nucleotide Metabolism	NA	catalytic activity; molybdenum ion binding; pyridoxal phosphate binding	NA
NDUFB2	Electron Transport Chain	NA	ligand ubiquinone	NA
MARC1	Nucleotide Metabolism	NA	catalytic activity; molybdenum ion binding; pyridoxal phosphate binding	NA
PDHB	Pyruvate Metabolism	NA	pyruvate dehydrogenase (acetyl-transferring) activity	NA
NDUFB3	Electron Transport Chain	NA	NADH dehydrogenase activity	NA
PDP1	Pyruvate Metabolism	NA	[pyruvate dehydrogenase (lipoamide)] phosphatase activity; phosphoprotein phosphatase activity; protein serine/threonine phosphatase activity	NA
NDUFB4	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
MCCC2	Amino Acid Metabolism	NA	CoA carboxylase activity; methylcrotonoyl-CoA carboxylase activity; propionyl-CoA carboxylase activity	NA
PDP2	Pyruvate Metabolism	NA	[pyruvate dehydrogenase (lipoamide)] phosphatase activity; phosphoprotein phosphatase activity; protein serine/threonine phosphatase activity	NA
NDUFB5	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
MECR	Fatty Acid Elongation	NA	trans-2-enoyl-CoA reductase (NADPH) activity; zinc ion binding	NA
PDPR	Pyruvate Metabolism	NA	[pyruvate dehydrogenase (lipoamide)] phosphatase regulator activity; aminomethyltransferase activity; oxidoreductase activity	NA
PCCA	Amino Acid Metabolism	NA	ATP binding; biotin carboxylase activity; metal ion binding; methylcrotonoyl-CoA carboxylase activity	NA
METAP1D	Import & Sorting	NA	aminopeptidase activity; metalloexopeptidase activity	NA
PET112	Translation	NA	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	NA
MCCC1	Amino Acid Metabolism	NA	ATP binding; biotin carboxylase activity; metal ion binding; methylcrotonoyl-CoA carboxylase activity	NA
MFF	Mitochondrial Dynamics	NA	molecular_function	NA
PET117	Electron Transport Chain	NA	  	NA
COX14	Electron Transport Chain	NA	  	NA
PDE12	Translation	NA	  	NA
MIPEP	Import & Sorting	NA	metalloendopeptidase activity	NA
PGAM5	Mitochondrial Dynamics	NA	phosphoprotein phosphatase activity; protein binding; protein serine/threonine kinase activator activity	NA
PDE12	Translation	NA	Unknown from fly file  	NA
PHB	Replication & Transcription	NA		NA
PDK1	Pyruvate Metabolism	NA	ATP binding; pyruvate dehydrogenase (acetyl-transferring) kinase activity	NA
PDK2	Pyruvate Metabolism	NA	ATP binding; pyruvate dehydrogenase (acetyl-transferring) kinase activity	NA
PDK3	Pyruvate Metabolism	NA	ATP binding; pyruvate dehydrogenase (acetyl-transferring) kinase activity	NA
PDK4	Pyruvate Metabolism	NA	ATP binding; pyruvate dehydrogenase (acetyl-transferring) kinase activity	NA
PDSS1	Ubiquinone Biosynthesis	NA	trans-hexaprenyltranstransferase activity	NA
NDUFB6	Electron Transport Chain	NA	NADH dehydrogenase activity	NA
NDUFB7	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFB8	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFB9	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFC2	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
MMADHC	Import & Sorting	NA		NA
NDUFS1	Electron Transport Chain	NA	electron carrier activity; iron-sulfur cluster binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
MMADHC	Metabolism of Vitamins & Co-Factors	NA	molecular_function	NA
PLD6	Cardiolipin Biosynthesis	NA	cardiolipin hydrolase activity; cardiolipin synthase activity; endoribonuclease activity	NA
MPV17	ROS Defense	NA	  	NA
PNPT1	Translation	NA	3'-5'-exoribonuclease activity; polyribonucleotide nucleotidyltransferase activity; RNA binding	NA
NDUFS3	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
POLG2	Replication & Transcription	NA	DNA-directed DNA polymerase activity	NA
NDUFS4	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
MSRA	ROS Defense	NA	peptide-methionine (S)-S-oxide reductase activity	NA
POLG	Replication & Transcription	NA	3'-5'-exodeoxyribonuclease activity; DNA binding; DNA-directed DNA polymerase activity	NA
NDUFS5	Electron Transport Chain	NA	NADH dehydrogenase activity	NA
MSRB3	ROS Defense	NA	peptide-methionine (R)-S-oxide reductase activity; zinc ion binding	NA
POLRMT	Replication & Transcription	NA	DNA binding; DNA-directed RNA polymerase activity	NA
PDSS2	Ubiquinone Biosynthesis	NA	trans-hexaprenyltranstransferase activity	NA
MTG1	Translation	NA	GTP binding; GTPase activity	NA
PPOX	Heme Biosynthesis	NA	oxygen-dependent protoporphyrinogen oxidase activity	NA
PFKM	Glycolysis	NA		NA
MTHFD1	Folate & Pterine Metabolism	NA	ATP binding; formate-tetrahydrofolate ligase activity; methenyltetrahydrofolate cyclohydrolase activity; methylenetetrahydrofolate dehydrogenase (NADP+) activity	NA
PRDX1	ROS Defense	NA	antioxidant activity; glutathione peroxidase activity; peroxidase activity; thioredoxin peroxidase activity	NA
PGAM2	Glycolysis	NA		NA
MTHFD1L	Folate & Pterine Metabolism	NA	ATP binding; formate-tetrahydrofolate ligase activity; methenyltetrahydrofolate cyclohydrolase activity; methylenetetrahydrofolate dehydrogenase (NADP+) activity	NA
PRDX2	ROS Defense	NA	antioxidant activity; glutathione peroxidase activity; peroxidase activity; thioredoxin peroxidase activity	NA
PGAM5	Mitochondrial Dynamics	NA	phosphoprotein phosphatase activity	NA
MTHFD2	Folate & Pterine Metabolism	NA	formate-tetrahydrofolate ligase activity; magnesium ion binding; methenyltetrahydrofolate cyclohydrolase activity; methylenetetrahydrofolate dehydrogenase (NAD+) activity; methylenetetrahydrofolate dehydrogenase (NADP+) activity	NA
PRDX4	ROS Defense	NA	antioxidant activity; glutathione peroxidase activity; peroxidase activity; thioredoxin peroxidase activity	NA
PGK1	Glycolysis	NA		NA
PRDX3	ROS Defense	NA	antioxidant activity; glutathione peroxidase activity; peroxidase activity; thioredoxin peroxidase activity	NA
PGS1	Cardiolipin Biosynthesis	NA	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity	NA
PHB2	Mitochondrial Dynamics	NA	Unknown from fly file  	NA
PIN4	Translation	NA	peptidyl-prolyl cis-trans isomerase activity	NA
PINK1	Mitochondrial Dynamics	NA	ATP binding; protein binding; protein kinase activity; protein serine/threonine kinase activity	NA
PISD	Metabolism of Lipids & Lipoproteins	NA	phosphatidylserine decarboxylase activity	NA
PRDX1	ROS Defense	NA	antioxidant activity; peroxidase activity; thioredoxin peroxidase activity	NA
PRDX4	ROS Defense	NA	antioxidant activity; peroxidase activity; thioredoxin peroxidase activity	NA
PRDX3	ROS Defense	NA	antioxidant activity; peroxidase activity; thioredoxin peroxidase activity	NA
PRDX5	ROS Defense	NA	antioxidant activity; oxidoreductase activity	NA
PRELID1	Apoptosis	NA	molecular_function	NA
PITRM1	Protein Stability & Degradation	NA	metal ion binding; metalloendopeptidase activity	NA
PTCD1	Translation	NA	poly(A) RNA binding	NA
PKM	Glycolysis	NA		NA
